Profile Pic,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Delta,Fake
1,2,0,35,1,0,0,0,36,202594,88,202506,0
1,1,0,41,0,0,0,1,24,15419,218,15201,0
1,4,0,20,0,0,0,0,96,64365,139,64226,0
1,1,0,90,1,0,0,1,608,3297268,222,3297046,0
1,2,0,41,0,0,0,0,5564,782599,119,782480,0
1,1,0,139,1,0,0,0,442,346955,469,346486,0
1,2,0,70,1,0,0,0,223,53579,634,52945,0
1,1,0,77,1,0,0,0,40,107960,262,107698,0
1,1,0,17,1,0,0,0,275,52786,573,52213,0
1,4,0,60,0,0,0,1,1079,178015,230,177785,0
1,1,0,32,1,0,0,0,519,432670,376,432294,0
1,1,0,144,1,0,0,0,247,224260,122,224138,0
1,2,0,124,1,0,1,1,71,406570,0,406570,0
1,3,0,150,1,0,0,1,2039,29363,2,29361,0
1,1,0,68,1,0,1,1,1402,716288,213,716075,0
1,3,0,61,1,0,1,0,94,1471161,126,1471035,0
1,4,0,77,1,0,0,1,1141,21611,1090,20521,0
1,1,0,84,1,0,0,0,46,68718,1,68717,0
1,2,0,34,1,0,1,1,85,466137,47,466090,0
1,2,0,54,1,0,1,1,312,1558283,337,1557946,0
1,2,0,13,1,0,0,1,695,2751091,938,2750153,0
1,1,0,48,1,0,1,0,3891,756600,260,756340,0
1,3,0,54,0,0,0,1,283,72892,1080,71812,0
1,2,0,0,0,0,0,0,27,17026,38,16988,0
1,2,0,124,1,0,0,0,122,18902,4,18898,0
1,3,0,37,1,0,1,0,146,496492,127,496365,0
1,3,0,128,1,0,0,1,336,11380,32,11348,0
1,0,0,52,0,0,0,0,121,26576,115,26461,0
1,2,0.5455,32,1,0,0,1,138,12867,20,12847,0
1,2,0,49,0,0,0,1,2090,122294,500,121794,0
1,4,0.0625,148,0,0,0,1,221,14125,2,14123,0
1,1,0,44,1,0,0,1,621,27917,566,27351,0
1,2,0,34,1,0,0,1,1529,51178,967,50211,0
1,1,0,85,1,0,0,0,1614,90222,423,89799,0
1,2,0,27,1,0,0,1,752,66572,852,65720,0
1,2,0,124,1,0,0,0,402,77631,1130,76501,0
1,2,0,60,1,0,1,0,1221,1308972,111,1308861,0
1,3,0,0,0,0,0,1,17,478,465,13,0
1,0,0,0,0,1,0,0,65,2809,782,2027,0
1,2,0,0,0,1,0,0,243,3552,2222,1330,0
1,2,0,144,0,0,1,0,1825,155689,462,155227,0
1,2,0,97,0,0,1,0,52,31008,350,30658,0
1,2,0,106,1,0,1,1,1179,882771,493,882278,0
1,2,0,16,0,1,0,0,4,953,680,273,0
1,1,0,38,0,1,0,0,715,1165,1063,102,0
1,2,0,30,0,1,0,0,158,905,459,446,0
1,2,0,5,0,1,0,0,10,1971,534,1437,0
1,6,0,111,0,0,0,1,256,42066,1565,40501,0
1,1,0,7,1,0,0,1,467,2022,793,1229,0
1,1,0,15,0,1,0,0,279,1235,947,288,0
1,2,0,0,0,0,1,0,293,282788,1061,281727,0
1,2,0,87,1,0,1,0,51,173149,76,173073,0
1,2,0,92,1,0,1,1,4390,1483531,80,1483451,0
1,2,0,63,1,0,1,1,2075,3361296,307,3360989,0
1,2,0,0,0,1,0,0,16,488,348,140,0
1,2,0,0,0,1,0,0,125,964,469,495,0
1,2,0,88,0,0,0,1,173,1737,995,742,0
1,1,0,0,0,0,0,1,102,451,413,38,0
1,1,0,1,0,0,0,0,44,746,822,-76,0
1,2,0,16,0,0,0,1,235,2023,618,1405,0
1,2,0,0,0,1,0,0,49,693,566,127,0
1,1,0,5,0,0,0,1,21,681,484,197,0
1,3,0,67,1,0,1,1,12560,37207866,81,37207785,0
1,3,0,31,0,0,1,0,519,298188,325,297863,0
1,4,0,127,1,0,1,0,584,65210,156,65054,0
1,2,0,105,1,0,1,1,845,36884,1797,35087,0
1,3,0,0,0,0,1,0,29,391445,960,390485,0
1,2,0,88,1,0,1,1,3541,7873243,341,7872902,0
1,2,0,38,1,0,1,0,657,2762095,580,2761515,0
1,2,0,145,1,0,1,0,781,14688383,0,14688383,0
1,2,0,59,0,0,0,0,391,1377,863,514,0
1,4,0,0,0,0,1,0,444,45832209,45,45832164,0
1,4,0,93,1,0,1,0,559,970559,2060,968499,0
1,1,0,71,1,0,1,1,4824,799679,239,799440,0
1,4,0,70,1,0,1,0,900,54356,147,54209,0
1,2,0,3,1,0,1,1,1434,4613724,549,4613175,0
1,4,0,0,0,0,1,0,169,244660,261,244399,0
1,3,0,12,1,0,1,1,2857,1754485,67,1754418,0
1,1,0,39,0,0,1,1,820,109764,161,109603,0
1,2,0,97,0,0,1,1,1621,378474,375,378099,0
1,3,0,94,1,0,1,1,6886,683681,410,683271,0
1,2,0,12,0,0,1,1,390,3848779,384,3848395,0
1,5,0,75,1,0,1,1,4115,1281759,349,1281410,0
1,4,0,23,0,0,0,0,10,37,35,2,0
1,2,0,63,0,0,0,0,9,787,949,-162,0
1,2,0,31,0,1,0,0,13,837,872,-35,0
1,2,0,30,0,0,0,0,2,1509,683,826,0
1,1,0,17,0,0,0,0,26,1941,771,1170,0
1,5,0,133,1,0,0,0,149,4985,1032,3953,0
1,3,0,27,1,0,0,1,136,674,747,-73,0
1,1,0,5,0,0,0,1,9,8856,1066,7790,0
1,0,0,5,0,0,0,0,0,469,354,115,0
1,0,0,10,0,0,0,0,1,314,269,45,0
1,0,0,23,0,0,0,0,1,1140,1236,-96,0
1,2,0,137,1,0,1,0,2738,934619,2153,932466,0
1,1,0,113,1,0,1,0,517,1224041,794,1223247,0
0,0,0,0,0,0,1,1,0,50044,256,49788,0
1,2,0,146,0,0,1,0,103,435618,783,434835,0
1,1,0.6667,79,0,0,1,0,1935,1105568,543,1105025,0
1,3,0,148,1,0,1,1,15189,16232745,728,16232017,0
1,2,0,110,1,0,1,1,2844,1091449,762,1090687,0
1,2,0,110,0,0,1,0,1312,1448840,703,1448137,0
1,1,0,31,1,1,0,0,89,1034,876,158,0
1,1,0,0,0,1,0,0,163,3267,636,2631,0
1,2,0,13,0,1,0,0,40,951,454,497,0
1,1,0,0,0,1,0,0,52,775,401,374,0
1,2,0,12,1,0,1,0,390,2903831,391,2903440,0
1,2,0,26,1,0,1,0,243,5427847,100,5427747,0
1,2,0,103,1,0,1,0,5404,6287397,484,6286913,0
1,2,0,0,0,0,1,0,1116,600358,16,600342,0
1,3,0,0,0,0,0,0,47,7685,2217,5468,0
1,3,0,49,0,0,0,0,37,706,308,398,0
1,2,0,29,0,1,0,0,3,545,434,111,0
1,2,0,81,1,0,1,0,479,860378,234,860144,0
1,2,0.1,76,1,0,1,1,8762,9034441,53,9034388,0
1,1,0,0,1,0,1,0,4948,64089784,2174,64087610,0
