Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake,Profile Pic Url,Username
1,0,1,149,0,0,1,162,237,193,1,3.0,6.333,14.56,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/38057957_587710884959121_6506108784597794816_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=oGEUU-FlAA0AX_pHnCL&oh=a30e3021ee3c088520c66eb543191ab1&oe=5EADF945,dachiragasparma
1,0,1,45,0,0,1,7966,176063,36,1,8.0,100.0,3056.86,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/25038043_153568425415107_5937940458796744704_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=3AAOuYWxExEAX-XUbme&oh=1ead946f3c9d93845bd9494274a7f764&oe=5EAF6774,unskinny
1,0.091,1,17,0,0,1,215,33305,293,1,3.0,3.167,1755.03,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/83749013_2441603379488918_6435809262408040448_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=khzFK33dDsUAX-IheRa&oh=557b6ee4dff56bb9d133cfc91bfd86ca&oe=5EAE70D6,lorenzotan0
1,0,2,90,1,0,1,12,5681,629,1,8.333,1.333,1182.5,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/90049572_680344416054104_8623089527616962560_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=6dWayWj7Js4AX_iekSe&oh=8387d86f5fb1c6d9552ed33cc00cd5c4&oe=5EAF1728,kelvylobomusic
1,0,1,25,0,0,1,85,1112,569,1,1.176,2.5,197.718,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/66662489_466353043944682_1709257418845716480_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=AlhB4RjYQeMAX9F4R8n&oh=cccea39be080715570add6eb085298cf&oe=5EAC6652,matildemarconi_
1,0,3,146,1,0,1,982,5671,3745,1,4.0,16.667,115.88,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/72531789_1308748795996369_6626813720850857984_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=8p88rPx7s0IAX9i2Ske&oh=52cbc977136f255ea19cf6eb20fc9624&oe=5EADE169,carpediem_milano
1,0,3,111,1,0,0,2121,7754,1979,1,2.0,25.0,481.22,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/51113486_248548349418971_6498198635954569216_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=sPz-uRty8YcAX-J-1cK&oh=16a8622d8dd47314d58706dfd4ce4ff9&oe=5EAC2C11,isabellapetrosillo
1,0,3,13,0,0,1,1501,874,382,1,1.0,10.0,53.81,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/917302_848419998618481_1885354546_a.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=gsegehGEQeIAX-ORitr&oh=a57c38a8e2be08f1dea8aeb1bfd31ae2&oe=5EAD240B,francicerri
1,0,2,131,0,0,1,79,291,695,1,3.846,2.75,49.705,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/51939615_2233220053585207_764267122263064576_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=HTy3WbAAJSwAX83Ygfa&oh=a70dcdedf1d588867d26b1e4e23256fc&oe=5EADCB8B,makeup.b.artist
1,0,1,51,0,0,1,71,2490,1321,1,2.817,3.083,275.577,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/71582044_435080317177685_5974154849942503424_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=dHSivN19yIoAX_obLbI&oh=efdce0e88e38eedb84967a51e55d7270&oe=5EADAF9E,bianca_ispass
1,0,1,34,1,0,0,86,728,1343,1,4.651,7.455,40.663,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/69350865_925923614426449_2043739361505181696_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=BvDpmHxgfhsAX_qCIUj&oh=e97f618cd961f52c0ee3cdade85c3db1&oe=5EADE760,mr.hxly
