Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0,0,0,0,0,1,0,0,65,2809,782,Null,0
1,0,2,0,0,0,1,0,0,243,3552,2222,Null,0
1,0.182,2,0,144,0,0,1,0,1825,155689,462,1,0
1,0.1,2,0,97,0,0,1,0,52,31008,350,1,0
1,0,2,0,106,1,0,1,1,1179,882771,493,1,0
1,0,2,0,16,0,1,0,0,4,953,680,Null,0
1,0,1,0,38,0,1,0,0,715,1165,1063,Null,0
1,0,2,0,30,0,1,0,0,158,905,459,Null,0
1,0,2,0,5,0,1,0,0,10,1971,534,Null,0
1,0,6,0,111,0,0,0,1,256,42066,1565,1,0
1,0,1,0,7,1,0,0,1,467,2022,793,1,0
1,0,1,0,15,0,1,0,0,279,1235,947,Null,0
1,0,2,0,0,0,0,1,0,293,282788,1061,1,0
1,0,2,0,87,1,0,1,0,51,173149,76,1,0
1,0,2,0,92,1,0,1,1,4390,1483531,80,1,0
1,0,2,0,63,1,0,1,1,2075,3361296,307,1,0
1,0.083,2,0,0,0,1,0,0,16,488,348,Null,0
1,0,2,0,0,0,1,0,0,125,964,469,Null,0
1,0,2,0,88,0,0,0,1,173,1737,995,1,0
1,0,1,0,0,0,0,0,1,102,451,413,1,0
1,0,1,0,1,0,0,0,0,44,746,822,1,0
1,0,2,0,16,0,0,0,1,235,2023,618,1,0
1,0,2,0,0,0,1,0,0,49,693,566,Null,0
1,0,1,0,5,0,0,0,1,21,681,484,1,0
1,0,3,0,67,1,0,1,1,12560,37207866,81,1,0
1,0,3,0,31,0,0,1,0,519,298188,325,1,0
1,0.083,4,0,127,1,0,1,0,584,65210,156,1,0
1,0.143,2,0,105,1,0,1,1,845,36884,1797,1,0
1,0,3,0,0,0,0,1,0,29,391445,960,1,0
1,0,2,0,88,1,0,1,1,3541,7873243,341,1,0
1,0,2,0,38,1,0,1,0,657,2762095,580,1,0
